SKEL,cancel
SPOERT,SPOR,support
KOED,code
TPHAEUBG,PHAEUBG,PHAEBG,PHAUBG,PAEUBG,make
HAP/TPHES,HAP/KWREUPBS,happiness
ROED/TKEPBD/ROPB,rhododendron
KWA/TKRAOUP/KAEUT,KWA/TKRAOUP/KAT,KWA/TKRUP/KAEUT,KWA/TKRUP/KAT,KWAU/TKRAOUP/KAEUT,KWAU/TKRAOUP/KAT,KWAU/TKRUP/KAEUT,KWAU/TKRUP/KAT,KWAUD/RAOUP/KAEUT,KWAUD/RAOUP/KAT,KWAUD/RUP/KAEUT,KWAUD/RUP/KAT,KWAD/RAOUP/KAEUT,KWAD/RAOUP/KAT,KWAD/RAOUP/HREUBGT,KWAD/RAOUD/KAT,KWAD/RUP/KAEUT,KWAD/RUP/KAT,quadruplicate
STPHOG/TPEU,STEPB/TKPWRAEF,stenography
SKWROEU,joy
A,{a^}
HREUFT,lift
KAPB/PEU,canopy
KWROEUL,yellow
HR*T,although
THROGT,HROGT,altogether
,Cooper Shapard
AUZ,as you
